participant_id,task,input_type,input_value,timestamp,task_completion_time_in_ms
1,A,button_clicked,1,2021-05-23 20:01:01.600065,
1,A,button_clicked,+,2021-05-23 20:01:02.432247,
1,A,button_clicked,2,2021-05-23 20:01:02.983886,
1,A,button_clicked,+,2021-05-23 20:01:03.745677,
1,A,button_clicked,3,2021-05-23 20:01:04.215505,
1,A,button_clicked,+,2021-05-23 20:01:04.872175,
1,A,button_clicked,4,2021-05-23 20:01:05.871688,
1,A,button_clicked,+,2021-05-23 20:01:07.103939,
1,A,button_clicked,5,2021-05-23 20:01:07.824367,
1,A,button_clicked,+,2021-05-23 20:01:09.080084,
1,A,button_clicked,6,2021-05-23 20:01:09.607711,
1,A,button_clicked,+,2021-05-23 20:01:10.279873,
1,A,button_clicked,7,2021-05-23 20:01:11.367714,
1,A,button_clicked,+,2021-05-23 20:01:12.168387,
1,A,button_clicked,8,2021-05-23 20:01:12.751656,
1,A,button_clicked,+,2021-05-23 20:01:13.752022,
1,A,button_clicked,9,2021-05-23 20:01:14.511543,
1,A,button_clicked,+,2021-05-23 20:01:15.957769,
1,A,button_clicked,1,2021-05-23 20:01:16.951631,
1,A,button_clicked,0,2021-05-23 20:01:17.335259,
1,A,button_clicked,+,2021-05-23 20:01:17.839827,
1,A,button_clicked,1,2021-05-23 20:01:18.975979,
1,A,button_clicked,1,2021-05-23 20:01:19.159438,
1,A,button_clicked,+,2021-05-23 20:01:19.943350,
1,A,button_clicked,1,2021-05-23 20:01:20.495735,
1,A,button_clicked,2,2021-05-23 20:01:20.863654,
1,A,button_clicked,+,2021-05-23 20:01:21.976396,
1,A,button_clicked,1,2021-05-23 20:01:22.663998,
1,A,button_clicked,3,2021-05-23 20:01:23.128360,
1,A,button_clicked,+,2021-05-23 20:01:23.831647,
1,A,button_clicked,1,2021-05-23 20:01:24.751698,
1,A,button_clicked,4,2021-05-23 20:01:25.327712,
1,A,button_clicked,+,2021-05-23 20:01:26.176461,
1,A,button_clicked,1,2021-05-23 20:01:27.504104,
1,A,button_clicked,5,2021-05-23 20:01:28.015487,
1,A,button_clicked,+,2021-05-23 20:01:28.711828,
1,A,button_clicked,1,2021-05-23 20:01:29.192336,
1,A,button_clicked,6,2021-05-23 20:01:29.863750,
1,A,button_clicked,+,2021-05-23 20:01:31.072063,
1,A,button_clicked,1,2021-05-23 20:01:32.405075,
1,A,button_clicked,7,2021-05-23 20:01:32.872035,
1,A,button_clicked,+,2021-05-23 20:01:33.615546,
1,A,button_clicked,1,2021-05-23 20:01:35.192093,
1,A,button_clicked,8,2021-05-23 20:01:35.687601,
1,A,button_clicked,+,2021-05-23 20:01:37.679968,
1,A,button_clicked,1,2021-05-23 20:01:38.551659,
1,A,button_clicked,9,2021-05-23 20:01:39.111696,
1,A,button_clicked,+,2021-05-23 20:01:39.687811,
1,A,button_clicked,2,2021-05-23 20:01:40.759970,
1,A,button_clicked,0,2021-05-23 20:01:41.400064,
1,A,button_clicked,=,2021-05-23 20:01:42.611964,41012.0
1,C,button_clicked,(,2021-05-23 20:05:00.079791,
1,C,button_clicked,3,2021-05-23 20:05:01.087097,
1,C,button_clicked,**,2021-05-23 20:05:02.704982,
1,C,button_clicked,2,2021-05-23 20:05:08.976115,
1,C,button_clicked,+,2021-05-23 20:05:10.824063,
1,C,button_clicked,3,2021-05-23 20:05:11.304319,
1,C,button_clicked,delete,2021-05-23 20:05:12.592126,
1,C,button_clicked,4,2021-05-23 20:05:13.640166,
1,C,button_clicked,**,2021-05-23 20:05:14.879483,
1,C,button_clicked,2,2021-05-23 20:05:15.694288,
1,C,button_clicked,),2021-05-23 20:05:16.904653,
1,C,button_clicked,*,2021-05-23 20:05:23.103446,
1,C,button_clicked,1,2021-05-23 20:05:24.560236,
1,C,button_clicked,5,2021-05-23 20:05:24.939234,
1,C,button_clicked,.,2021-05-23 20:05:25.623893,
1,C,button_clicked,2,2021-05-23 20:05:26.096021,
1,C,button_clicked,=,2021-05-23 20:05:28.335944,28256.0
1,B,key_pressed,1,2021-05-23 20:02:52.567554,
1,B,key_pressed,+,2021-05-23 20:02:52.711552,
1,B,key_pressed,2,2021-05-23 20:02:52.887729,
1,B,key_pressed,+,2021-05-23 20:02:53.039488,
1,B,key_pressed,3,2021-05-23 20:02:53.207389,
1,B,key_pressed,+,2021-05-23 20:02:53.367498,
1,B,key_pressed,4,2021-05-23 20:02:54.175094,
1,B,key_pressed,+,2021-05-23 20:02:54.311275,
1,B,key_pressed,5,2021-05-23 20:02:54.455355,
1,B,key_pressed,+,2021-05-23 20:02:54.584769,
1,B,key_pressed,6,2021-05-23 20:02:54.751254,
1,B,key_pressed,+,2021-05-23 20:02:54.903452,
1,B,key_pressed,7,2021-05-23 20:02:55.087264,
1,B,key_pressed,+,2021-05-23 20:02:55.231204,
1,B,key_pressed,8,2021-05-23 20:02:55.415411,
1,B,key_pressed,+,2021-05-23 20:02:55.567643,
1,B,key_pressed,9,2021-05-23 20:02:55.759065,
1,B,key_pressed,+,2021-05-23 20:02:55.887728,
1,B,key_pressed,1,2021-05-23 20:02:56.527719,
1,B,key_pressed,0,2021-05-23 20:02:56.687021,
1,B,key_pressed,+,2021-05-23 20:02:56.831299,
1,B,key_pressed,1,2021-05-23 20:02:57.015757,
1,B,key_pressed,1,2021-05-23 20:02:57.143465,
1,B,key_pressed,+,2021-05-23 20:02:57.279526,
1,B,key_pressed,1,2021-05-23 20:02:57.711234,
1,B,key_pressed,2,2021-05-23 20:02:57.895313,
1,B,key_pressed,+,2021-05-23 20:02:58.031457,
1,B,key_pressed,1,2021-05-23 20:02:58.239336,
1,B,key_pressed,3,2021-05-23 20:02:58.439242,
1,B,key_pressed,+,2021-05-23 20:02:58.711577,
1,B,key_pressed,1,2021-05-23 20:02:58.975769,
1,B,key_pressed,4,2021-05-23 20:02:59.199182,
1,B,key_pressed,+,2021-05-23 20:02:59.447752,
1,B,key_pressed,1,2021-05-23 20:02:59.679358,
1,B,key_pressed,5,2021-05-23 20:03:00.334982,
1,B,key_pressed,+,2021-05-23 20:03:01.319420,
1,B,key_pressed,1,2021-05-23 20:03:01.655560,
1,B,key_pressed,6,2021-05-23 20:03:01.919607,
1,B,key_pressed,+,2021-05-23 20:03:02.215508,
1,B,key_pressed,1,2021-05-23 20:03:02.487534,
1,B,key_pressed,7,2021-05-23 20:03:02.847551,
1,B,key_pressed,+,2021-05-23 20:03:03.135587,
1,B,key_pressed,1,2021-05-23 20:03:03.399606,
1,B,key_pressed,8,2021-05-23 20:03:03.647580,
1,B,key_pressed,+,2021-05-23 20:03:03.903637,
1,B,key_pressed,1,2021-05-23 20:03:04.151492,
1,B,key_pressed,9,2021-05-23 20:03:04.471715,
