input_type,input_value,timestamp
key_pressed,1,2021-05-21 19:53:03.105873
button_clicked,0,2021-05-21 19:53:04.298489
key_pressed,1,2021-05-21 19:53:04.805514
button_clicked,0,2021-05-21 19:53:05.922757
key_pressed,1,2021-05-21 19:53:06.685700
button_clicked,0,2021-05-21 19:53:07.386694
key_pressed,1,2021-05-21 19:53:08.165373
button_clicked,0,2021-05-21 19:53:08.850079
key_pressed,1,2021-05-21 19:53:09.388979
button_clicked,0,2021-05-21 19:53:10.042139
key_pressed,1,2021-05-21 19:53:10.716335
button_clicked,0,2021-05-21 19:53:11.386484
key_pressed,1,2021-05-21 19:53:11.965200
button_clicked,0,2021-05-21 19:53:12.651243
key_pressed,1,2021-05-21 19:53:13.541148
button_clicked,0,2021-05-21 19:53:14.290722
key_pressed,1,2021-05-21 19:53:14.845633
button_clicked,0,2021-05-21 19:53:15.577905
key_pressed,1,2021-05-21 19:53:16.101229
button_clicked,0,2021-05-21 19:53:16.770594
key_pressed,1,2021-05-21 19:53:17.317450
button_clicked,0,2021-05-21 19:53:18.026496
key_pressed,1,2021-05-21 19:53:18.548942
button_clicked,0,2021-05-21 19:53:19.210350
key_pressed,1,2021-05-21 19:53:19.717307
button_clicked,0,2021-05-21 19:53:20.545919
key_pressed,1,2021-05-21 19:53:21.349721
button_clicked,0,2021-05-21 19:53:22.066841
key_pressed,1,2021-05-21 19:53:22.653409
button_clicked,0,2021-05-21 19:53:23.330315
key_pressed,1,2021-05-21 19:53:23.877822
button_clicked,0,2021-05-21 19:53:24.562912
key_pressed,1,2021-05-21 19:53:25.117736
button_clicked,0,2021-05-21 19:53:25.802793
key_pressed,1,2021-05-21 19:53:26.293463
button_clicked,0,2021-05-21 19:53:27.010567
key_pressed,1,2021-05-21 19:53:27.517266
button_clicked,0,2021-05-21 19:53:28.418825
key_pressed,1,2021-05-21 19:53:28.949175
button_clicked,0,2021-05-21 19:53:29.746233
key_pressed,1,2021-05-21 19:53:30.301591
button_clicked,0,2021-05-21 19:53:31.042619
key_pressed,1,2021-05-21 19:53:31.613463
button_clicked,0,2021-05-21 19:53:32.338200
key_pressed,1,2021-05-21 19:53:32.909488
button_clicked,0,2021-05-21 19:53:33.594359
key_pressed,1,2021-05-21 19:53:34.153599
button_clicked,0,2021-05-21 19:53:34.819075
key_pressed,1,2021-05-21 19:53:35.417644
button_clicked,0,2021-05-21 19:53:36.066708
key_pressed,1,2021-05-21 19:53:36.625606
button_clicked,0,2021-05-21 19:53:37.273896
key_pressed,1,2021-05-21 19:53:37.817531
button_clicked,0,2021-05-21 19:53:38.418022
key_pressed,1,2021-05-21 19:53:38.929370
button_clicked,0,2021-05-21 19:53:39.555576
key_pressed,1,2021-05-21 19:53:40.049271
button_clicked,0,2021-05-21 19:53:40.667228
key_pressed,1,2021-05-21 19:53:41.185560
button_clicked,0,2021-05-21 19:53:41.761825
key_pressed,1,2021-05-21 19:53:42.265660
button_clicked,0,2021-05-21 19:53:42.881993
key_pressed,1,2021-05-21 19:53:43.361680
button_clicked,0,2021-05-21 19:53:44.418371
key_pressed,1,2021-05-21 19:53:45.081225
button_clicked,0,2021-05-21 19:53:45.739973
key_pressed,1,2021-05-21 19:53:46.289508
button_clicked,0,2021-05-21 19:53:46.954727
key_pressed,1,2021-05-21 19:53:47.474645
button_clicked,0,2021-05-21 19:53:48.162200
key_pressed,1,2021-05-21 19:53:48.705319
button_clicked,0,2021-05-21 19:53:49.329821
key_pressed,1,2021-05-21 19:53:49.913399
button_clicked,0,2021-05-21 19:53:50.739425
key_pressed,1,2021-05-21 19:53:51.345604
button_clicked,0,2021-05-21 19:53:52.042327
key_pressed,1,2021-05-21 19:53:52.585440
button_clicked,0,2021-05-21 19:53:53.306229
key_pressed,1,2021-05-21 19:53:53.841312
button_clicked,0,2021-05-21 19:53:54.540216
key_pressed,1,2021-05-21 19:53:55.049532
button_clicked,0,2021-05-21 19:53:55.746056
key_pressed,1,2021-05-21 19:53:56.305663
button_clicked,0,2021-05-21 19:53:56.923515
key_pressed,1,2021-05-21 19:53:57.442285
button_clicked,0,2021-05-21 19:53:58.106472
key_pressed,1,2021-05-21 19:53:58.641363
button_clicked,0,2021-05-21 19:53:59.290677
key_pressed,1,2021-05-21 19:53:59.801472
button_clicked,0,2021-05-21 19:54:00.410130
key_pressed,1,2021-05-21 19:54:00.937296
button_clicked,0,2021-05-21 19:54:01.603109
key_pressed,1,2021-05-21 19:54:02.135997
button_clicked,0,2021-05-21 19:54:02.794626
key_pressed,1,2021-05-21 19:54:03.451641
button_clicked,0,2021-05-21 19:54:04.074422
key_pressed,1,2021-05-21 19:54:04.645575
button_clicked,0,2021-05-21 19:54:05.275524
key_pressed,1,2021-05-21 19:54:05.869008
button_clicked,0,2021-05-21 19:54:06.530051
