input_type,input_value,timestamp
button_clicked,0,2021-05-22 13:18:21.925423
button_clicked,/,2021-05-22 13:18:23.228741
button_clicked,+,2021-05-22 13:18:24.226404
button_clicked,7,2021-05-22 13:18:25.036660
button_clicked,delete,2021-05-22 13:18:25.869316
button_clicked,0,2021-05-22 13:18:26.788848
button_clicked,clear,2021-05-22 13:18:28.052787
button_clicked,4,2021-05-22 13:18:29.229347
button_clicked,+,2021-05-22 13:18:30.362996
button_clicked,1,2021-05-22 13:18:31.516341
button_clicked,/,2021-05-22 13:18:32.733008
button_clicked,9,2021-05-22 13:18:33.842955
button_clicked,0,2021-05-22 13:18:35.148809
button_clicked,3,2021-05-22 13:18:36.613057
button_clicked,7,2021-05-22 13:18:37.764535
button_clicked,delete,2021-05-22 13:18:39.060800
button_clicked,8,2021-05-22 13:18:40.252623
button_clicked,2,2021-05-22 13:18:41.612540
button_clicked,.,2021-05-22 13:18:42.428496
button_clicked,3,2021-05-22 13:18:43.909325
button_clicked,9,2021-05-22 13:18:44.988399
button_clicked,delete,2021-05-22 13:18:46.548479
button_clicked,5,2021-05-22 13:18:47.948611
button_clicked,=,2021-05-22 13:18:49.229288
button_clicked,9,2021-05-22 13:18:50.461523
button_clicked,0,2021-05-22 13:18:51.676639
button_clicked,7,2021-05-22 13:18:52.724322
button_clicked,+,2021-05-22 13:18:53.660722
button_clicked,/,2021-05-22 13:18:54.820482
button_clicked,delete,2021-05-22 13:18:55.628855
button_clicked,9,2021-05-22 13:18:56.517653
button_clicked,0,2021-05-22 13:18:57.636447
button_clicked,7,2021-05-22 13:18:58.388258
button_clicked,9,2021-05-22 13:18:59.388909
button_clicked,=,2021-05-22 13:19:00.140643
button_clicked,4,2021-05-22 13:19:01.692311
button_clicked,*,2021-05-22 13:19:02.748244
button_clicked,0,2021-05-22 13:19:03.740923
button_clicked,delete,2021-05-22 13:19:04.756312
button_clicked,7,2021-05-22 13:19:05.916698
button_clicked,+,2021-05-22 13:19:06.796248
button_clicked,0,2021-05-22 13:19:07.748632
button_clicked,delete,2021-05-22 13:19:08.679700
button_clicked,4,2021-05-22 13:19:09.668914
button_clicked,-,2021-05-22 13:19:10.756351
button_clicked,0,2021-05-22 13:19:11.805031
button_clicked,9,2021-05-22 13:19:12.837314
button_clicked,1,2021-05-22 13:19:14.188722
button_clicked,7,2021-05-22 13:19:15.004568
button_clicked,=,2021-05-22 13:19:16.100717
button_clicked,8,2021-05-22 13:19:17.140993
button_clicked,+,2021-05-22 13:19:18.180287
button_clicked,clear,2021-05-22 13:19:19.308588
button_clicked,9,2021-05-22 13:19:20.429364
button_clicked,0,2021-05-22 13:19:21.797292
button_clicked,4,2021-05-22 13:19:22.781005
button_clicked,3,2021-05-22 13:19:23.740561
button_clicked,-,2021-05-22 13:19:24.420783
button_clicked,9,2021-05-22 13:19:25.268960
button_clicked,0,2021-05-22 13:19:26.556794
button_clicked,=,2021-05-22 13:19:27.468417
button_clicked,8,2021-05-22 13:19:28.476944
button_clicked,1,2021-05-22 13:19:29.364421
button_clicked,*,2021-05-22 13:19:30.421374
button_clicked,0,2021-05-22 13:19:31.500586
button_clicked,delete,2021-05-22 13:19:32.412650
button_clicked,7,2021-05-22 13:19:33.644934
button_clicked,=,2021-05-22 13:19:34.628960
button_clicked,+,2021-05-22 13:19:35.596840
button_clicked,9,2021-05-22 13:19:36.620784
button_clicked,0,2021-05-22 13:19:37.549081
button_clicked,7,2021-05-22 13:19:38.861710
button_clicked,delete,2021-05-22 13:19:39.692702
button_clicked,1,2021-05-22 13:19:40.885053
button_clicked,=,2021-05-22 13:19:41.956738
button_clicked,8,2021-05-22 13:19:42.892794
button_clicked,0,2021-05-22 13:19:43.850693
button_clicked,/,2021-05-22 13:19:45.124473
button_clicked,7,2021-05-22 13:19:46.164968
button_clicked,clear,2021-05-22 13:19:47.132580
button_clicked,0,2021-05-22 13:19:48.244699
button_clicked,delete,2021-05-22 13:19:49.188889
button_clicked,+,2021-05-22 13:19:50.364970
button_clicked,7,2021-05-22 13:19:51.412831
button_clicked,=,2021-05-22 13:19:52.484572
button_clicked,/,2021-05-22 13:19:53.476435
button_clicked,7,2021-05-22 13:19:54.709013
button_clicked,0,2021-05-22 13:19:55.596965
button_clicked,8,2021-05-22 13:19:56.796799
button_clicked,=,2021-05-22 13:19:57.636978
button_clicked,9,2021-05-22 13:19:58.676784
button_clicked,7,2021-05-22 13:19:59.540536
button_clicked,1,2021-05-22 13:20:00.260564
button_clicked,4,2021-05-22 13:20:01.269041
button_clicked,6,2021-05-22 13:20:02.212753
button_clicked,3,2021-05-22 13:20:03.372439
button_clicked,7,2021-05-22 13:20:04.412513
button_clicked,9,2021-05-22 13:20:05.532180
button_clicked,.,2021-05-22 13:20:06.308685
button_clicked,5,2021-05-22 13:20:07.315890
