participant_id,task,input_type,input_value,timestamp
13,A,button_clicked,1,2021-05-23 21:33:38.381879
13,A,button_clicked,+,2021-05-23 21:33:41.165421
13,A,button_clicked,2,2021-05-23 21:33:42.061241
13,A,button_clicked,+,2021-05-23 21:33:42.788889
13,A,button_clicked,3,2021-05-23 21:33:43.503858
13,A,button_clicked,+,2021-05-23 21:33:44.125177
13,A,button_clicked,4,2021-05-23 21:33:45.037177
13,A,button_clicked,+,2021-05-23 21:33:45.949636
13,A,button_clicked,5,2021-05-23 21:33:46.661773
13,A,button_clicked,+,2021-05-23 21:33:47.349632
13,A,button_clicked,6,2021-05-23 21:33:48.005394
13,A,button_clicked,+,2021-05-23 21:33:48.701428
13,A,button_clicked,7,2021-05-23 21:33:49.491572
13,A,button_clicked,+,2021-05-23 21:33:50.317746
13,A,button_clicked,8,2021-05-23 21:33:50.988903
13,A,button_clicked,+,2021-05-23 21:33:51.717431
13,A,button_clicked,9,2021-05-23 21:33:52.347724
13,A,button_clicked,+,2021-05-23 21:33:53.020717
13,A,button_clicked,1,2021-05-23 21:33:53.709241
13,A,button_clicked,0,2021-05-23 21:33:54.402193
13,A,button_clicked,+,2021-05-23 21:33:55.044204
13,A,button_clicked,1,2021-05-23 21:33:55.748844
13,A,button_clicked,1,2021-05-23 21:33:55.916828
13,A,button_clicked,+,2021-05-23 21:33:56.566743
13,A,button_clicked,1,2021-05-23 21:33:57.158230
13,A,button_clicked,2,2021-05-23 21:33:57.540769
13,A,button_clicked,+,2021-05-23 21:33:58.188812
13,A,button_clicked,1,2021-05-23 21:33:58.740622
13,A,button_clicked,3,2021-05-23 21:33:59.302105
13,A,button_clicked,+,2021-05-23 21:33:59.812318
13,A,button_clicked,1,2021-05-23 21:34:00.506574
13,A,button_clicked,4,2021-05-23 21:34:00.873450
13,A,button_clicked,+,2021-05-23 21:34:01.492657
13,A,button_clicked,1,2021-05-23 21:34:02.108916
13,A,button_clicked,5,2021-05-23 21:34:02.557471
13,A,button_clicked,+,2021-05-23 21:34:03.148805
13,A,button_clicked,1,2021-05-23 21:34:03.873549
13,A,button_clicked,6,2021-05-23 21:34:04.605125
13,A,button_clicked,+,2021-05-23 21:34:05.165844
13,A,button_clicked,1,2021-05-23 21:34:05.741023
13,A,button_clicked,7,2021-05-23 21:34:06.285364
13,A,button_clicked,+,2021-05-23 21:34:06.972856
13,A,button_clicked,1,2021-05-23 21:34:07.596958
13,A,button_clicked,8,2021-05-23 21:34:08.140613
13,A,button_clicked,+,2021-05-23 21:34:08.829691
13,A,button_clicked,1,2021-05-23 21:34:09.604799
13,A,button_clicked,9,2021-05-23 21:34:10.285258
13,A,button_clicked,+,2021-05-23 21:34:10.940839
13,A,button_clicked,2,2021-05-23 21:34:11.597202
13,A,button_clicked,0,2021-05-23 21:34:12.173007
13,A,button_clicked,=,2021-05-23 21:34:12.898458
