participant_id,task,input_type,input_value,timestamp
1,B,key_pressed,1,2021-05-22 19:32:34.723809
1,B,key_pressed,+,2021-05-22 19:32:34.943655
1,B,key_pressed,2,2021-05-22 19:32:35.314948
1,B,key_pressed,+,2021-05-22 19:32:35.624469
1,B,key_pressed,3,2021-05-22 19:32:35.855769
1,B,key_pressed,+,2021-05-22 19:32:36.143082
1,B,key_pressed,4,2021-05-22 19:32:36.347166
1,B,key_pressed,+,2021-05-22 19:32:36.551096
1,B,key_pressed,5,2021-05-22 19:32:36.791092
1,B,key_pressed,+,2021-05-22 19:32:36.995148
1,B,key_pressed,6,2021-05-22 19:32:37.255141
1,B,key_pressed,+,2021-05-22 19:32:37.471342
1,B,key_pressed,7,2021-05-22 19:32:37.699364
1,B,key_pressed,+,2021-05-22 19:32:37.907372
1,B,key_pressed,8,2021-05-22 19:32:38.138638
1,B,key_pressed,+,2021-05-22 19:32:38.319266
1,B,key_pressed,9,2021-05-22 19:32:38.603881
1,B,key_pressed,+,2021-05-22 19:32:38.891502
1,B,key_pressed,1,2021-05-22 19:32:39.451303
1,B,key_pressed,0,2021-05-22 19:32:39.739029
1,B,key_pressed,+,2021-05-22 19:32:39.963505
1,B,key_pressed,1,2021-05-22 19:32:40.251193
1,B,key_pressed,1,2021-05-22 19:32:40.443380
1,B,key_pressed,+,2021-05-22 19:32:40.658695
1,B,key_pressed,1,2021-05-22 19:32:40.875408
1,B,key_pressed,2,2021-05-22 19:32:41.154742
1,B,key_pressed,+,2021-05-22 19:32:41.443143
1,B,key_pressed,1,2021-05-22 19:32:41.747008
1,B,key_pressed,3,2021-05-22 19:32:41.987680
1,B,key_pressed,+,2021-05-22 19:32:42.299009
1,B,key_pressed,1,2021-05-22 19:32:42.523497
1,B,key_pressed,4,2021-05-22 19:32:42.851331
1,B,key_pressed,+,2021-05-22 19:32:43.051462
1,B,key_pressed,1,2021-05-22 19:32:43.323264
1,B,key_pressed,5,2021-05-22 19:32:43.835661
1,B,key_pressed,+,2021-05-22 19:32:44.163125
1,B,key_pressed,1,2021-05-22 19:32:44.403236
1,B,key_pressed,6,2021-05-22 19:32:44.659242
1,B,key_pressed,+,2021-05-22 19:32:44.978975
1,B,key_pressed,1,2021-05-22 19:32:45.346671
1,B,key_pressed,7,2021-05-22 19:32:45.915012
1,B,key_pressed,+,2021-05-22 19:32:46.195134
1,B,key_pressed,1,2021-05-22 19:32:46.491672
1,B,key_pressed,8,2021-05-22 19:32:46.786730
1,B,key_pressed,+,2021-05-22 19:32:47.115080
1,B,key_pressed,1,2021-05-22 19:32:47.402962
1,B,key_pressed,9,2021-05-22 19:32:47.691395
1,B,key_pressed,+,2021-05-22 19:32:48.027582
1,B,key_pressed,2,2021-05-22 19:32:48.410715
1,B,key_pressed,0,2021-05-22 19:32:48.699195
1,B,key_pressed,=,2021-05-22 19:32:48.942969
