participant_id,task,input_type,input_value,timestamp
1,D,key_pressed,(,2021-05-23 20:04:18.111211
1,D,key_pressed,3,2021-05-23 20:04:18.743707
1,D,key_pressed,**,2021-05-23 20:04:18.835418
1,D,key_pressed,2,2021-05-23 20:04:18.943328
1,D,key_pressed,+,2021-05-23 20:04:20.367374
1,D,key_pressed,4,2021-05-23 20:04:20.963394
1,D,key_pressed,**,2021-05-23 20:04:21.085016
1,D,key_pressed,1,2021-05-23 20:04:21.353910
1,D,key_pressed,2,2021-05-23 20:04:21.361788
1,D,key_pressed,delete,2021-05-23 20:04:23.179476
1,D,key_pressed,delete,2021-05-23 20:04:23.715812
1,D,key_pressed,1,2021-05-23 20:04:24.467362
1,D,key_pressed,2,2021-05-23 20:04:24.555372
1,D,key_pressed,delete,2021-05-23 20:04:26.139466
1,D,key_pressed,delete,2021-05-23 20:04:26.315156
1,D,key_pressed,3,2021-05-23 20:04:26.851579
1,D,key_pressed,delete,2021-05-23 20:04:27.235658
1,D,key_pressed,2,2021-05-23 20:04:27.427610
1,D,key_pressed,),2021-05-23 20:04:28.907795
1,D,key_pressed,*,2021-05-23 20:04:29.323182
1,D,key_pressed,1,2021-05-23 20:04:31.171461
1,D,key_pressed,5,2021-05-23 20:04:31.283454
1,D,key_pressed,.,2021-05-23 20:04:31.771716
1,D,key_pressed,2,2021-05-23 20:04:32.051565
1,D,key_pressed,=,2021-05-23 20:04:32.219592
